algorithm,train_reward_last50,train_avg_queue_last50,train_avg_wait_last50,train_throughput_last50,eval_reward_mean,eval_reward_std,eval_avg_queue_length,eval_avg_waiting_time,eval_total_throughput,eval_total_delay,eval_phase_changes
TD(0),-344.16086006188374,16.059722222222224,807.667340677897,945.42,-346.24522778668853,1.3130894845034644,19.00105324074074,1359.5147513531313,717.9,547230.3333333334,0.0
SARSA,-98.74945072329989,2.837513888888889,50.8569543150531,1704.42,-87.24012817631457,71.91191974699417,3.30125,103.92233104198068,1633.6,95076.0,217.83333333333334
Q-Learning,-99.03146048241108,2.9210000000000007,51.49583990441428,1704.5,-216.20684997917456,73.82897316575799,8.223182870370369,358.2776282177148,1385.7333333333333,236827.66666666666,135.86666666666667
